ID,Name,Description,URL,Created,Vendor,Types,"Access Modes","Alt. Names / Keywords","Use Proxy","Friendly URL",Subjects,"More Info","Librarian Review","Map Ct",New,Trial,Featured,"Permitted Uses",Hidden,"Internal Note",Owner,"Landing Page"
1589021,"American Periodicals","Full text of popular periodicals published between 1740 and 1940 in the United States, including special interest and general magazines, literary and professional journals, children's and women's magazines. Now updated with labor, trade, literary, scientific, and photographic periodicals from the Center for Research Libraries.",https://search.proquest.com/americanperiodicals/advanced?accountid=9673,"2011-01-06 11:20:02 AM",Proquest,"Articles;Primary sources",,,No,,"English Language & Literature, History",,,15,No,No,No,,No,,"Libraries, Boston College",OFF
1589516,"American Poetry","This collection includes 50,000 poems drawn from 750 volumes by over 300 poets, including Adrienne Rich, Andrei Codrescu, Ezra Pound, William Carlos Williams, Denise Levertov, Wallace Stevens, Langston Hughes, Lucille Clifton, and Cathy Song.",https://search.proquest.com/ap/literature/advanced?accountid=9673,"2014-06-09 11:56:04 PM",,"E-book/Text collections;Primary sources",,Twentieth-Century,No,,"English Language & Literature",,,4,No,No,No,,Yes,,"LibApps, Asset Manager",OFF
1589407,"American Poetry 1600-1900","American Poetry contains over 40,000 poems by more than 200 poets, covering the Colonial period to the early twentieth century, and drawn from over 1,200 printed sources.",https://search.proquest.com/lion/docview/2343197094?accountid=9673,"2014-06-09 11:17:34 PM",Proquest,"E-book/Text collections;Primary sources",,,No,,"English Language & Literature",,,4,No,No,No,,Yes,,"LibApps, Asset Manager",OFF
25350128,"American Race Relations: Global Perspectives, 1946-1996","1941-1996, translated news and commentary from across the globe covering foreign perspectives of American racial issues and race relations between 1941-1996.   Contains newspapers, magazines, government statements and radio and television broadcasts from the U.S. Central Intelligence Agency archives.",https://infoweb.newsbank.com/apps/readex/advanced?p=TOPRACE&f=advanced,"2016-09-19 09:41:47 AM",Readex,"Primary sources",,,Yes,,"African & African Diaspora Studies, History, Latin American Studies, Political Science & Government",,,8,No,No,No,,No,,"LibApps, Asset Manager",OFF
46191687,"American Slavery Collection","A range of materials, including books, pamphlets, graphic materials, and ephemera, from the American Antiquarian Society's holdings of slavery and abolition materials. Published over the course of 100 years, topics include, for example, the Missouri Compromise and the founding of Liberia; the first National Anti-Slavery Society Convention in 1837 and the Compromise of 1850; the Emancipation Proclamation and the establishment of Redeemer state governments; the birth of Jim Crow and the expansion of segregation through the early 1920s.",https://infoweb.newsbank.com/?db=ASLC&s_startsearch=keyword,"2019-01-02 02:12:02 PM",Readex,"Primary sources",,"American Slavery Collection, 1820-1922: From the American Antiquarian Society",Yes,,"African & African Diaspora Studies, History",,,8,No,No,No,,No,HIP,"LibApps, Asset Manager",OFF
1589533,"American State Papers, 1789-1838","Search every legislative and executive document of the first through fourteenth U.S. Congresses; also contains Executive Department materials. Covers political, social and military history, as well as cultural, ethnic and international studies. This database is the seminal set of U.S. government publications and a rich source of primary material",https://infoweb.newsbank.com/?db=ASPA&s_startsearch=customized,"2014-06-10 12:11:19 AM",Readex,"Primary sources",,,Yes,,"History, Law, Political Science & Government",,,15,No,No,No,,No,,"LibApps, Asset Manager",OFF
1589184,"Ancestry Library Edition","With 7 billion genealogical records from across the globe and millions of family trees, this is the world's largest online family history resource.",https://ancestrylibrary.proquest.com,"2014-06-09 03:31:53 PM",Proquest,"E-book/Text collections;Reference;Biographies;Data/statistics",,,Yes,,History,,,82,No,No,No,,No,,"Libraries, Boston College",OFF
1589089,"Année philologique","An index to 1500 periodicals, essay collections, book reviews, and conference proceedings in Classical Studies. Subjects covered include ancient Greek and Latin language and linguistics, Greek and Roman history, literature, philosophy, art, archaeology, religion, mythology, music, science, early Christian texts, numismatics, papyrology, and epigraphy.",https://apps.brepolis.net/LTool/Entrance.aspx?w=38,"2011-01-06 11:20:03 AM",Brepols,Articles;Catalogs,,"L’Année philologique
L'Annee philologique
Annee philologique",Yes,,"Classical Studies, Philosophy, Theology",,,12,No,No,No,,No,CLP,"Strauber, Chris",OFF
1589185,"Annual Bibliography of English Language and Literature (ABELL), 1920 -","ABELL indexes monographs, periodical articles, critical editions of literary works, doctoral dissertations, book reviews and collections of essays concerning English language, literature, bibliography and folklore published anywhere in the world from 1920 onwards.",https://search.proquest.com/abell/advanced?accountid=9673,"2014-06-09 03:33:04 PM",Proquest,Articles;Bibliographies,,,No,,"English Language & Literature",,,11,No,No,No,,No,,"LibApps, Asset Manager",OFF
1589029,"Anthropology Plus","A comprehensive index to journal articles and reports in anthropology, archeaology, and related disciplines. Coverage goes back to the early 19th century.","https://search.ebscohost.com/login.aspx?authtype=ip,shib&profile=ehost&defaultdb=ant&custid=s4194587","2011-01-06 11:20:02 AM",EBSCO,Articles,,,No,,"Latin American Studies, Sociology & Anthropology",,,23,No,No,No,,No,,"LibApps, Asset Manager",OFF
1589535,AnthroSource,"Provides full-text access to all journals published by the American Anthropological Association.",https://anthrosource.onlinelibrary.wiley.com,"2014-06-10 12:12:12 AM",Wiley,Articles,,,Yes,,"Sociology & Anthropology",,,3,No,No,No,,No,,"Homzie, Leslie",OFF
66916542,"APA PsycTHERAPY","You will find an extensive library of training videos from expert therapists conducting sessions with clients using a variety of techniques on a variety of populations. Content is produced and provided by the American Psychological Association.",https://www.proquest.com/psyctherapy?accountid=9673,"2022-05-17 10:22:52 AM",Proquest,,,,No,,"Education, Psychology",,,2,No,No,No,,No,PSP,"Williams, Adam",OFF
